test_row,dataset_index,review,true_labels,predicted_labels,exact_match,sample_f1,error_count,false_positives,false_negatives,predicted_confidence,maximum_wrong_confidence,prob_food,prob_price,prob_service,prob_ambiance,prob_miscellaneous
110,424,the food here tastes a little better but nothing else is quite customer friendly,"['food', 'miscellaneous']","['food', 'service']",False,0.5,2,['service'],['miscellaneous'],0.6021491721385737,0.5979167862574107,0.6063815580197366,0.32843580211367657,0.5979167862574107,0.4402425681533783,0.49098500401694123
28,599,the pizza was delicious but the experience was horrible,"['food', 'miscellaneous']","['food', 'service']",False,0.5,2,['service'],['miscellaneous'],0.5968098038499683,0.5869497286108019,0.6066698790891348,0.33638368865760837,0.5869497286108019,0.4420174028755107,0.49633911009064513
111,451,this restaurant is being cooked by foreign cooks and hence the price of the food is a bit high,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.613071032452754,0.5581826827980084,0.5581826827980084,0.6679593821074996,0.3569823080121995,0.36308221079892633,0.450652562122941
77,569,they are giving free toys to children which is good for marketing but the price of food is high and the price of toys is being collected,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.6096217989044745,0.5545269649325262,0.5545269649325262,0.6647166328764229,0.3621174460531189,0.36531523737284993,0.4467750181701153
78,593,food of normal price is very scarce here and they are not treating all the customers well,"['price', 'service']","['food', 'price']",False,0.5,2,['food'],['service'],0.5835204667527083,0.5342798325573113,0.5342798325573113,0.6327611009481052,0.43748510539861263,0.3446057437037573,0.4459669305896974
152,365,food prices are lower than other nearby places but the food is very expensive,['price'],"['food', 'price', 'miscellaneous']",False,0.5,2,"['food', 'miscellaneous']",[],0.5329653198334302,0.5292727610208837,0.44673706163570964,0.6228861368436973,0.3864250375753093,0.44459298985342605,0.5292727610208837
117,479,ordering lower priced items made the waiters experience worse and most of the food seemed overpriced,"['price', 'service']","['food', 'price']",False,0.5,2,['food'],['service'],0.5611057513843041,0.5280580964251895,0.5280580964251895,0.5941534063434185,0.48636054322180744,0.3490379930661205,0.44012744494920203
26,260,a restaurant and location is also very good to eat a full stomach with less money,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.5809676936736299,0.5234427776883517,0.5234427776883517,0.6384926096589081,0.34206678315007266,0.435863317772775,0.4781759360826296
159,360,some fake restaurants and food prices are higher than the original places,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.5874751196070676,0.5175994396375099,0.5175994396375099,0.6573507995766251,0.3418836008241815,0.41236763115373337,0.48406532707205147
12,634,schizlingter is a type of food that is served hot and fresh,"['food', 'service']","['food', 'miscellaneous']",False,0.5,2,['miscellaneous'],['service'],0.5783765347885169,0.5026710933746826,0.6547991659596765,0.3748517629446969,0.5026710933746826,0.42300249727137695,0.5019539036173574
137,420,if everything is good at the wife s favorite restaurant and especially if the price of the food there is low then what else do husbands need,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.5352804596892865,0.49475209072498616,0.4724810617336695,0.5980798576449035,0.4217996589706414,0.4352930211079104,0.49475209072498616
134,417,the timing of the meal was just right and the total cost was very less per person,"['price', 'service']","['food', 'price']",False,0.5,2,['food'],['service'],0.522955418621359,0.48857919803107286,0.4653645867697214,0.5805462504729966,0.48857919803107286,0.3972895109779993,0.48352432222251585
67,568,it is necessary to sell the land and go here to eat the price of food is so high but everyone goes here to get the touch of a good environment,"['price', 'ambiance']","['food', 'price', 'ambiance', 'miscellaneous']",False,0.6666666666666666,2,"['food', 'miscellaneous']",[],0.513919480600374,0.509699208396368,0.44797099197096424,0.5702034670178631,0.37558496281033205,0.5278042550163003,0.509699208396368
1,779,the restaurant is very clean and the ambience is very nice,['ambiance'],"['ambiance', 'miscellaneous']",False,0.6666666666666666,1,['miscellaneous'],[],0.6264633737654528,0.5327035914074201,0.3756029969775942,0.3656402384033553,0.45251480195789495,0.7202231561234856,0.5327035914074201
106,351,the decoration of the restaurant is very unique and i think it has the best atmosphere,['ambiance'],"['ambiance', 'miscellaneous']",False,0.6666666666666666,1,['miscellaneous'],[],0.6236637425779701,0.5326732003129262,0.3853046046971541,0.36113175644499845,0.4565055002634134,0.714654284843014,0.5326732003129262
