test_row,dataset_index,review,true_labels,predicted_labels,exact_match,sample_f1,error_count,false_positives,false_negatives,predicted_confidence,maximum_wrong_confidence,prob_food,prob_price,prob_service,prob_ambiance,prob_miscellaneous
26,260,a restaurant and location is also very good to eat a full stomach with less money,"['price', 'miscellaneous']","['food', 'price', 'ambiance']",False,0.4,3,"['food', 'ambiance']",['miscellaneous'],0.5282252100984951,0.3601197743170216,0.23994758649684797,0.9971709950900501,0.002506135133628054,0.34755704870858734,0.3601197743170216
110,424,the food here tastes a little better but nothing else is quite customerfriendly,"['food', 'miscellaneous']","['food', 'service']",False,0.5,2,['service'],['miscellaneous'],0.9956652987550525,0.9927695299683712,0.9985610675417339,0.0017146290590315803,0.9927695299683712,0.030421299911792224,0.0812504114898745
28,599,the pizza was delicious but the experience was horrible,"['food', 'miscellaneous']","['food', 'service']",False,0.5,2,['service'],['miscellaneous'],0.9856699555035711,0.9719310776654316,0.9994088333417106,0.002575093877242689,0.9719310776654316,0.03595464760304633,0.27922579580026646
111,451,this restaurant is being cooked by foreign cooks and hence the price of the food is a bit high,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.8167303625124385,0.63495834752903,0.63495834752903,0.9985023774958468,0.01189240080846179,0.01781324625117726,0.1109195773260351
77,569,they are giving free toys to children which is good for marketing but the price of food is high and the price of toys is being collected,"['price', 'miscellaneous']","['food', 'price']",False,0.5,2,['food'],['miscellaneous'],0.790366444170186,0.582508310698439,0.582508310698439,0.998224577641933,0.020962245579670028,0.05273664971565769,0.10398837764257202
78,593,food of normal price is very scarce here and they are not treating all the customers well,"['price', 'service']","['food', 'price']",False,0.5,2,['food'],['service'],0.7137520270565884,0.43164209489344796,0.43164209489344796,0.9958619592197288,0.40254909837672426,0.007307564251975086,0.03530515534758494
152,365,food prices are lower than other nearby places but the food is very expensive,['price'],"['price', 'miscellaneous']",False,0.6666666666666666,1,['miscellaneous'],[],0.9593762977028647,0.9213950669348131,0.012982496156616974,0.9973575284709163,0.021356930699198244,0.1939664561074702,0.9213950669348131
74,31,as for the beef the test was very good but the name kalabuna was not right,['food'],"['food', 'miscellaneous']",False,0.6666666666666666,1,['miscellaneous'],[],0.7857072813439384,0.5714940779974075,0.9999204846904693,0.01631198338077008,0.15129907710136148,0.022412987257922873,0.5714940779974075
158,512,the sweets were disgusting and i hated their use,"['food', 'service']",['food'],False,0.6666666666666666,1,[],['service'],0.9998656827669377,0.5212948605794195,0.9998656827669377,0.011689018882555637,0.5212948605794195,0.040156880396475345,0.34722271131419025
12,634,schizlingter is a type of food that is served hot and fresh,"['food', 'service']",['food'],False,0.6666666666666666,1,[],['service'],0.9998368300233831,0.5137189458570569,0.9998368300233831,0.006743956851109871,0.5137189458570569,0.03785182473615181,0.2044345513075787
153,412,it is hard to find eggs in eggchop and everything is rotten,['food'],"['food', 'ambiance']",False,0.6666666666666666,1,['ambiance'],[],0.6862691142134719,0.37261982996712334,0.9999183984598204,0.008997562029045903,0.04692047184248961,0.37261982996712334,0.16493891565919858
57,687,heard many names on everyone is lips but i did not like the food here,"['food', 'miscellaneous']",['food'],False,0.6666666666666666,1,[],['miscellaneous'],0.999398017111679,0.3155475314467944,0.999398017111679,0.008603435309388348,0.10702970571301632,0.1557437169040018,0.3155475314467944
54,335,the reviews of the restaurant online were bad but i found the quality of the food to be good,"['food', 'miscellaneous']",['food'],False,0.6666666666666666,1,[],['miscellaneous'],0.9999370116762291,0.2299792083767302,0.9999370116762291,0.013400639629697288,0.10608396040285806,0.08014692547149235,0.2299792083767302
125,254,the decoration was very different and the atmosphere was very lively,['ambiance'],"['food', 'ambiance']",False,0.6666666666666666,1,['food'],[],0.601562723536375,0.2033888005955587,0.2033888005955587,0.04389196071657694,0.02072765448385261,0.9997366464771913,0.11401252153496913
85,344,all the staff looked very professional but their service was not that good,['service'],"['food', 'service']",False,0.6666666666666666,1,['food'],[],0.5857380549517947,0.17162053271483746,0.17162053271483746,0.017389137877226027,0.9998555771887518,0.046404320754885646,0.0374309247533607
